direction_name,wheelchair_accessible,block_id,trip_id,direction_id,shape_id,route_id,service_id,trip_headsign
Eastbound,1,b_461010_Timetable_-_2025-12,2724__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2725__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2726__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2727__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2728__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461010_Timetable_-_2025-12,2729__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Northbound,1,b_401041_Timetable_-_2025-12,272__401041_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Eastbound,1,b_461031_Timetable_-_2025-12,2730__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2731__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2732__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2733__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461010_Timetable_-_2025-12,2734__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2735__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2736__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2737__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2738__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461010_Timetable_-_2025-12,2739__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Northbound,1,b_401017_Timetable_-_2025-12,273__401017_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Eastbound,1,b_461031_Timetable_-_2025-12,2740__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2741__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2742__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2743__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461010_Timetable_-_2025-12,2744__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2745__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2746__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2747__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2748__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2749__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Northbound,1,b_401037_Timetable_-_2025-12,274__401037_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Eastbound,1,b_461027_Timetable_-_2025-12,2750__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
